Date,Time,Sym,Market,Reason Code,Res DT,Res QT TM,Res TRD TM,Vol,Flt Sht,Days,Price,M Cap M
2021-07-21,09:05:03,XPDIU,NASDAQ,T1T2T3,07/21/2021,09:55:00,10:00:00,9,NA,0,10,0
2021-07-21,09:05:03,XPDIW,NASDAQ,T1T2T3,07/21/2021,09:55:00,10:00:00,NA,NA,NA,NA,NA
2021-07-26,14:13:05,PRFX,NASDAQ,LUDP,07/26/2021,14:13:05,14:18:05,18195,0.01,0,4,40
2021-07-21,09:35:08,AATC,NASDAQ,LUDP,07/21/2021,09:35:08,09:40:08,NA,NA,NA,NA,NA
2021-07-26,12:58:58,LEXX,NASDAQ,LUDP,07/26/2021,12:58:58,13:03:58,672,0.11,5,6,36
2021-07-21,09:41:33,SIGA,NASDAQ,LUDP,07/21/2021,09:41:33,09:46:33,386,0.03,109,6,453
2021-07-26,09:45:09,MSC,NYSE,M,07/26/2021,09:50:20,09:50:20,149,0.0,192,9,1040
2021-07-22,11:31:07,SGMA,NASDAQ,LUDP,07/22/2021,11:31:07,11:36:07,3187,0.0,1,7,31
2021-07-21,12:08:47,VSCO#,NYSE,M,07/21/2021,12:20:41,12:20:41,NA,NA,NA,NA,NA
2021-07-21,13:52:10,MRIN,NASDAQ,LUDP,07/21/2021,13:52:10,13:57:10,5554,0.45,0,7,97
2021-07-21,14:19:01,SPKAU,NASDAQ,LUDP,07/21/2021,14:19:01,14:24:01,62,NA,0,10,0
2021-07-22,07:00:00,VERI,NASDAQ,T1T2T3,07/22/2021,07:30:00,07:35:00,979,0.1,24,20,672
2021-07-22,09:37:40,LSXMB,NASDAQ,LUDP,07/22/2021,09:37:40,09:42:40,NA,NA,NA,NA,NA
2021-07-22,09:41:49,CUEN,NASDAQ,LUDP,07/22/2021,09:41:49,09:46:49,13099,0.01,0,3,55
2021-07-22,11:03:20,DXR,AMEX,M,07/22/2021,11:08:20,11:08:20,436,0.01,2,10,44
2021-07-22,11:17:26,IPA,NASDAQ,LUDP,07/22/2021,11:17:26,11:22:26,121037,0.01,0,13,252
